User Score,Publisher
7.918707482993197,Nintendo
7.641590214067285,Sony Computer Entertainment
7.405387205387207,Sega
7.282962962962957,Konami Digital Entertainment
7.247547169811313,Namco Bandai Games
7.089766081871346,THQ
7.063576158940395,Take-Two Interactive
7.040058479532166,Electronic Arts
7.037701974865357,Ubisoft
6.733856893542761,Activision
