name,platform,year_of_release,gendre,publisher,developer,rating
R4: Ridge Racer Type 4,PS,1998,Racing,Namco Bandai Games,Namco,
1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,,
Tetris DX,GB,1998,Puzzle,Nintendo,,
WCW Nitro,PS,1998,Fighting,THQ,,
FIFA 2000,PS,1998,Sports,Electronic Arts,,
WWF Attitude,PS,1998,Fighting,Acclaim Entertainment,,
Madden NFL 2000,PS,1998,Sports,Electronic Arts,,
Madden NFL 99,PS,1998,Sports,Electronic Arts,,
Twisted Metal III,PS,1998,Action,989 Studios,,
Toy Story 2: Buzz Lightyear to the Rescue!,PS,1998,Platform,Activision,,
WCW/NWO Thunder,PS,1998,Fighting,THQ,,
Sled Storm,PS,1998,Racing,Electronic Arts,,
Yu-Gi-Oh! Duel Monsters,GB,1998,Strategy,Konami Digital Entertainment,,
F-1 World Grand Prix,N64,1998,Racing,Video System,,
NFL GameDay 99,PS,1998,Sports,989 Studios,,
NASCAR 99,PS,1998,Racing,Electronic Arts,,
NBA Live 2000,PS,1998,Sports,Electronic Arts,,
NFL Blitz,PS,1998,Sports,Midway Games,,
Pac-Man World,PS,1998,Action,Namco Bandai Games,,
Xenogears,PS,1998,Role-Playing,SquareSoft,SquareSoft,T
Mortal Kombat 4,PS,1998,Fighting,GT Interactive,,
WCW vs the World,PS,1998,Fighting,THQ,,
Duke Nukem: Time to Kill,PS,1998,Shooter,Take-Two Interactive,,
A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,,
Pocket Monsters Stadium,N64,1998,Strategy,Nintendo,,
WWF War Zone,N64,1998,Fighting,Acclaim Entertainment,,
TOCA 2: Touring Cars,PS,1998,Racing,Codemasters,,
Devil Dice,PS,1998,Puzzle,THQ,,
Brian Lara Cricket,PS,1998,Sports,Codemasters,,
Wheel of Fortune,PS,1998,Misc,Hasbro Interactive,,
Road Rash 3D,PS,1998,Racing,Electronic Arts,,
Vigilante 8,PS,1998,Racing,Activision,,
WCW Mayhem,PS,1998,Fighting,Electronic Arts,,
Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo,,
Cool Boarders 4,PS,1998,Sports,989 Studios,,
Asteroids,PS,1998,Shooter,Success,,
Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,SquareSoft,E
South Park,N64,1998,Shooter,Acclaim Entertainment,,
Jampack Winter '98,PS,1998,Misc,Sony Computer Entertainment,,
F-Zero X,N64,1998,Racing,Nintendo,,
Star Ocean: The Second Story,PS,1998,Role-Playing,Sony Computer Entertainment,Tri-Ace,E
BeatMania,PS,1998,Simulation,Konami Digital Entertainment,,
NFL Blitz 2000,PS,1998,Sports,Midway Games,,
Ready 2 Rumble Boxing,PS,1998,Sports,Midway Games,,
NCAA Football 99,PS,1998,Sports,Electronic Arts,,
Simple 1500 Series Vol. 1: The Mahjong,PS,1998,Misc,D3Publisher,,
NFL Blitz,N64,1998,Sports,Midway Games,,
Monster Rancher 2,PS,1998,Simulation,Sony Computer Entertainment,Tecmo,E
Jeremy McGrath Supercross 98,PS,1998,Racing,Acclaim Entertainment,,
Street Fighter Alpha 3,PS,1998,Fighting,Virgin Interactive,Capcom,T
Pong: The Next Level,PS,1998,Puzzle,Hasbro Interactive,,
Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,Oddworld Inhabitants,T
NASCAR 99,N64,1998,Racing,Electronic Arts,,
Glover,N64,1998,Platform,Hasbro Interactive,,
Madden NFL 99,N64,1998,Sports,Electronic Arts,,
